name,status,publisher,price_old,price_new,discount,authors,img_url
Объяснимые модели искусственного интеллекта на Python. Модель искусственного интеллекта,На складе,ДМК-Пресс,3499,1924,45,Мишра Прадипта,https://img4.labirint.ru/rc/297afa99af31af48caa5cb25591adcd6/220x340q80/books88/874740/cover.jpg?1659864389
Проектирование гибких программ,На складе,ДМК-Пресс,4038,2221,45,"Хансон Крис, Сассман Джеральд Джей",https://img3.labirint.ru/rc/ac3c2368ec757241be5d304cb2a06ce0/220x340q80/books88/874741/cover.jpg?1659860724
Идеальная работа. Программирование без прикрас,На складе,Питер:            Библиотека программиста,1745,1361,22,Мартин Роберт С.,https://img3.labirint.ru/rc/aff99c7834c616d344746652bce9034b/220x340q80/books88/872423/cover.jpg?1658492717
Криптографические основы блокчейн-технологий,На складе,ДМК-Пресс,2693,1481,45,Ищукова Евгения Александровна и др.,https://img4.labirint.ru/rc/dba640ea3b24934eddd0c97238476ba6/220x340q80/books88/872114/cover.jpg?1658816730
Web-программирование на Python. Учебное пособие,На складе,Лань:            Компьютеры и программное обеспечение,3379,1858,45,Янцев Валерий Викторович,https://img4.labirint.ru/rc/fba780d73ea75de20e1e75ba14b8fcec/220x340q80/books87/868730/cover.jpg?1657445122
Web-программирование на Python. СПО,На складе,Лань:            Компьютеры и программное обеспечение,3379,1858,45,Янцев Валерий Викторович,https://img3.labirint.ru/rc/30aac24ee92e57a272229d6bca1f9851/220x340q80/books87/868731/cover.jpg?1657445123
Go. Идиомы и паттерны проектирования,На складе,Питер:            Бестселлеры O`Reilly,3619,2823,22,Боднер Джон,https://img4.labirint.ru/rc/97aa9d42fec4ec348d448f89b6fc6232/220x340q80/books87/868348/cover.jpg?1657445110
Python. Чистый код для продолжающих,На складе,Питер:            Библиотека программиста,2901,2263,22,Свейгарт Эл,https://img3.labirint.ru/rc/c6723ef7e3097bee7465aa09ee8ee624/220x340q80/books87/868349/cover.jpg?1656746719
Как проектировать программы,На складе,ДМК-Пресс,5383,2961,45,Фелляйзен Маттиас и др.,https://img3.labirint.ru/rc/288fb984b9f0de3ea17f23e32e5f28d4/220x340q80/books87/865701/cover.jpg?1656606303
Введение в программирование и структуры данных,На складе,ДМК-Пресс,4038,2221,45,Фислер Кати и др.,https://img3.labirint.ru/rc/376d4dd68b7bc374547f80ac488e9af2/220x340q80/books87/868323/cover.jpg?1656584748
